Cons
Running CVC: false
DFSPriority
Eager
Size bound: 20
Depth bound: 4
=====

[16:06:42.800843]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.801467]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.802069]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[L6[]] -> L1[_4_], tr: L6[]
[16:06:42.802576]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[L6[]] -> L1[L6[]], tr: L6[]
[16:06:42.803452]	END Size 8 : 10 ms
[16:06:42.803641]	BEG Size 9
[16:06:42.803811]	Exploring 0: L0[], LLi: L0[], Li: L0[], []b: L3[], cons: V0 -> V0 -> V0, tr: L3[]
[16:06:42.804070]	Exploring 0: L0[], LLi: L1[_0_], Li: L1[_1_], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.804630]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[_1_], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.805105]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.805571]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.806252]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[L0[]] -> L1[_4_], tr: L6[]
[16:06:42.806872]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[L0[]] -> L1[L0[]], tr: L6[]
[16:06:42.807815]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L0[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.808437]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L6[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.808874]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L6[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.809390]	Exploring 0: L0[], LLi: L1[L0[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.809856]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[_1_], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.810294]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L0[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.810581]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L0[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.811019]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L0[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.811484]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[_2_], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.811900]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L0[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.812375]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[_3_] -> L1[_4_], tr: L6[]
[16:06:42.812795]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[L6[]] -> L1[_4_], tr: L6[]
[16:06:42.813192]	Exploring 0: L0[], LLi: L1[L6[]], Li: L1[L6[]], []b: L1[L6[]], cons: V0 -> L1[L6[]] -> L1[L6[]], tr: L6[]
[16:06:42.813645]	END Size 9 : 10 ms
[16:06:42.813742]	BEG Size 10
[16:06:42.813931]	Exploring 0: L0[], LLi: L0[], Li: L0[], []b: L3[], cons: V0 -> V0 -> V0, tr: L3[]
